Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,A ,10.00,INE179A01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
500469,Federal Bank Ltd.,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.00,INE171A01029,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
500470,TATA STEEL LIMITED,TATASTEEL,TATA STEEL LTD.,Active,A ,1.00,INE081A01020,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A ,10.00,INE640A01023,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
500477,Ashok Leyland Ltd.,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.00,INE208A01029,Commercial Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
500480,Cummins India Ltd.,CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.00,INE298A01020,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
500483,Tata Communications Limited,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.00,INE151A01013,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
500488,Abbott India Ltd.,ABBOTINDIA,ABBOTT INDIA LTD.,Active,A ,10.00,INE358A01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10.00,INE118A01012,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
500493,Bharat Forge Ltd,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.00,INE465A01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500495,Escorts Kubota Limited,ESCORTS,Escorts Kubota Ltd,Active,A ,10.00,INE042A01014,Tractors,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors
500510,Larsen & Toubro Limited,LT,LARSEN & TOUBRO LTD.,Active,A ,2.00,INE018A01030,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
500520,Mahindra & Mahindra Ltd.,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5.00,INE101A01026,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
500530,Bosch Ltd,BOSCHLTD,BOSCH LTD.,Active,A ,10.00,INE323A01026,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
