Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543669,Keystone Realtors Limited,RUSTOMJEE,Keystone Realtors Ltd,Active,B ,10.00,INE263M01029,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
543670,VINNY OVERSEAS LIMITED,VINNY,Vinny Overseas Ltd,Active,B ,1.00,INE01KI01027,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
543671,AAA TECHNOLOGIES LIMITED,AAATECH,AAA Technologies Ltd,Active,B ,10.00,INE0D0U01013,Consulting Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services
543677,ICICI Prudential Mutual Fund,FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,Active,B ,10.00,INF109KC17L8, ,Equity,-,-,-,-
543686,Sirca Paints India Limited,SIRCA,Sirca Paints India Ltd,Active,B ,10.00,INE792Z01011,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
543687,Dharmaj Crop Guard Limited,DHARMAJ,Dharmaj Crop Guard Ltd,Active,B ,10.00,INE00OQ01016,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
543688,Sarveshwar Foods Limited,SARVESHWAR,Sarveshwar Foods Ltd,Active,B ,1.00,INE324X01026,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
543689,Uniparts India Limited,UNIPARTS,Uniparts India Ltd,Active,B ,10.00,INE244O01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543710,ICICI Prudential Mutual Fund,COMMOIETF,ICICI Prudential Nifty Commodities ETF,Active,B ,10.00,INF109KC19O8, ,Equity,-,-,-,-
543712,Abans Holdings Limited,AHL,Abans Holdings Ltd,Active,B ,2.00,INE00ZE01026,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
543714,LANDMARK CARS LIMITED,LANDMARK,Landmark Cars Ltd,Active,B ,5.00,INE559R01029,Auto -Dealer,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto -Dealer
543715,Indiabulls Enterprises Limited,IEL,Indiabulls Enterprises Ltd,Active,B ,2.00,INE059901020,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
543725,Elin Electronics Limited,ELIN,Elin Electronics Ltd,Active,B ,5.00,INE050401020,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
543732,Radiant Cash Management Services Limited,RADIANTCMS,Radiant Cash Management Services Ltd,Active,B ,1.00,INE855R01021,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
543738,DSP Mutual Fund,BANKETFADD,DSP Nifty Bank ETF,Active,B ,10.00,INF740KA1RX3, ,Equity,-,-,-,-
543743,Sah Polymers Limited,SAH,Sah Polymers Ltd,Active,B ,10.00,INE035801013,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
543747,Kamdhenu Ventures Limited,KAMOPAINTS,Kamdhenu Ventures Ltd,Active,B ,1.00,INE0BTI01037,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
